analysis,outer_heldout_match,model,inner_heldout_match,alpha,MAE,constant_features_removed,solver
primary_K3_2s,J03WOH,B5,J03WQQ,0.1,2.222573518016164,0,solve
primary_K3_2s,J03WOH,B5,J03WQQ,1.0,2.2225623526508,0,solve
primary_K3_2s,J03WOH,B5,J03WQQ,10.0,2.222464985502528,0,solve
primary_K3_2s,J03WOH,B5,J03WQQ,100.0,2.2222077370075826,0,solve
primary_K3_2s,J03WOH,B5,J03WR9,0.01,2.126989688512224,0,solve
primary_K3_2s,J03WOH,B5,J03WR9,0.1,2.126990243988346,0,solve
primary_K3_2s,J03WOH,B5,J03WR9,1.0,2.126995764274574,0,solve
primary_K3_2s,J03WOH,B5,J03WR9,10.0,2.127050590876735,0,solve
primary_K3_2s,J03WOH,B5,J03WR9,100.0,2.1276121453447,0,solve
primary_K3_2s,J03WOH,B6,J03WMX,0.01,2.112192679136211,0,solve
primary_K3_2s,J03WOH,B6,J03WMX,0.1,2.112191798848503,0,solve
primary_K3_2s,J03WOH,B6,J03WMX,1.0,2.11218340497813,0,solve
primary_K3_2s,J03WOH,B6,J03WMX,10.0,2.1121170735837755,0,solve
primary_K3_2s,J03WOH,B6,J03WMX,100.0,2.1119523247255274,0,solve
primary_K3_2s,J03WOH,B6,J03WN1,0.01,1.9151059750864783,0,solve
primary_K3_2s,J03WOH,B6,J03WN1,0.1,1.915108894107988,0,solve
primary_K3_2s,J03WOH,B6,J03WN1,1.0,1.9151380218944136,0,solve
primary_K3_2s,J03WOH,B6,J03WN1,10.0,1.9154235381168572,0,solve
primary_K3_2s,J03WOH,B6,J03WN1,100.0,1.9180228055727901,0,solve
primary_K3_2s,J03WOH,B6,J03WOY,0.01,2.1119889257491598,0,solve
primary_K3_2s,J03WOH,B6,J03WOY,0.1,2.111989707229031,0,solve
primary_K3_2s,J03WOH,B6,J03WOY,1.0,2.111997512845469,0,solve
primary_K3_2s,J03WOH,B6,J03WOY,10.0,2.1120788232643646,0,solve
primary_K3_2s,J03WOH,B6,J03WOY,100.0,2.112912820922594,0,solve
primary_K3_2s,J03WOH,B6,J03WPY,0.01,2.077438079817118,0,solve
primary_K3_2s,J03WOH,B6,J03WPY,0.1,2.07743921215954,0,solve
primary_K3_2s,J03WOH,B6,J03WPY,1.0,2.077450559705226,0,solve
primary_K3_2s,J03WOH,B6,J03WPY,10.0,2.0775735735123306,0,solve
primary_K3_2s,J03WOH,B6,J03WPY,100.0,2.078966908473182,0,solve
primary_K3_2s,J03WOH,B6,J03WQQ,0.01,2.220558179642882,0,solve
primary_K3_2s,J03WOH,B6,J03WQQ,0.1,2.2205570346248305,0,solve
primary_K3_2s,J03WOH,B6,J03WQQ,1.0,2.2205456996240454,0,solve
primary_K3_2s,J03WOH,B6,J03WQQ,10.0,2.2204461566421103,0,solve
primary_K3_2s,J03WOH,B6,J03WQQ,100.0,2.220177457045276,0,solve
primary_K3_2s,J03WOH,B6,J03WR9,0.01,2.125999087423363,0,solve
primary_K3_2s,J03WOH,B6,J03WR9,0.1,2.1259995354196755,0,solve
primary_K3_2s,J03WOH,B6,J03WR9,1.0,2.1260039864320786,0,solve
primary_K3_2s,J03WOH,B6,J03WR9,10.0,2.1260468313713603,0,solve
