grid_x_m,grid_y_m,bandwidth_m,support_profile,support_valid,equal_match_local_mean_m
11,-29.5,5,conservative,True,0.159110910565
12,-29.5,5,conservative,True,0.173017266656
13,-29.5,5,conservative,True,0.190488316773
14,-29.5,5,conservative,True,0.208920578974
15,-29.5,5,conservative,True,0.226916840124
16,-29.5,5,conservative,True,0.245607254378
17,-29.5,5,conservative,True,0.262468326042
18,-29.5,5,conservative,True,0.280249779819
19,-29.5,5,conservative,True,0.294144510845
20,-29.5,5,conservative,True,0.309247021852
21,-29.5,5,conservative,True,0.319478208858
22,-29.5,5,conservative,True,0.324286716753
23,-29.5,5,conservative,True,0.331413022226
24,-29.5,5,conservative,True,0.340653349377
25,-29.5,5,conservative,True,0.337201731824
26,-29.5,5,conservative,True,0.341072751797
27,-29.5,5,conservative,True,0.346566679495
28,-29.5,5,conservative,True,0.347015359604
29,-29.5,5,conservative,True,0.352519403345
30,-29.5,5,conservative,True,0.350439100608
31,-29.5,5,conservative,True,0.353997845362
32,-29.5,5,conservative,True,0.364425396414
33,-29.5,5,conservative,True,0.373373741079
34,-29.5,5,conservative,True,0.375298103638
35,-29.5,5,conservative,True,0.381284342316
36,-29.5,5,conservative,True,0.387829539521
37,-29.5,5,conservative,True,0.40027355828
38,-29.5,5,conservative,False,
39,-29.5,5,conservative,False,
40,-29.5,5,conservative,False,
41,-29.5,5,conservative,False,
42,-29.5,5,conservative,False,
43,-29.5,5,conservative,False,
44,-29.5,5,conservative,False,
45,-29.5,5,conservative,False,
46,-29.5,5,conservative,False,
47,-29.5,5,conservative,False,
48,-29.5,5,conservative,False,
49,-29.5,5,conservative,False,
50,-29.5,5,conservative,False,
51,-29.5,5,conservative,False,
52,-29.5,5,conservative,False,
-52,-28.5,5,conservative,False,
-51,-28.5,5,conservative,False,
-50,-28.5,5,conservative,False,
-49,-28.5,5,conservative,False,
-48,-28.5,5,conservative,False,
-47,-28.5,5,conservative,False,
-46,-28.5,5,conservative,False,
-45,-28.5,5,conservative,False,
-44,-28.5,5,conservative,False,
-43,-28.5,5,conservative,True,0.430557448983
-42,-28.5,5,conservative,True,0.411125410823
-41,-28.5,5,conservative,True,0.389446723637
-40,-28.5,5,conservative,True,0.37302988363
-39,-28.5,5,conservative,True,0.373661377084
-38,-28.5,5,conservative,True,0.353601966745
-37,-28.5,5,conservative,True,0.340166205027
-36,-28.5,5,conservative,True,0.321857970697
-35,-28.5,5,conservative,True,0.302439320066
-34,-28.5,5,conservative,True,0.29421529087
-33,-28.5,5,conservative,True,0.285820098957
-32,-28.5,5,conservative,True,0.279417472609
-31,-28.5,5,conservative,True,0.278757983924
-30,-28.5,5,conservative,True,0.274913201941
-29,-28.5,5,conservative,True,0.270633279589
-28,-28.5,5,conservative,True,0.266077712173
-27,-28.5,5,conservative,True,0.262229469869
-26,-28.5,5,conservative,True,0.256732418104
-25,-28.5,5,conservative,True,0.257035740724
-24,-28.5,5,conservative,True,0.263608874564
-23,-28.5,5,conservative,True,0.272878092983
-22,-28.5,5,conservative,True,0.272320738798
-21,-28.5,5,conservative,True,0.281527665278
-20,-28.5,5,conservative,True,0.285193293303
-19,-28.5,5,conservative,True,0.28793970374
-18,-28.5,5,conservative,True,0.294946570338
-17,-28.5,5,conservative,True,0.292665175854
-16,-28.5,5,conservative,True,0.293152079358
-15,-28.5,5,conservative,True,0.28634192424
-14,-28.5,5,conservative,True,0.277940554843
-13,-28.5,5,conservative,True,0.257788467454
-12,-28.5,5,conservative,True,0.245897619247
-11,-28.5,5,conservative,True,0.236781757741
-10,-28.5,5,conservative,True,0.225546960562
-9,-28.5,5,conservative,True,0.21321260374
-8,-28.5,5,conservative,True,0.203245915302
-7,-28.5,5,conservative,True,0.189258942735
-6,-28.5,5,conservative,True,0.179407331251
-5,-28.5,5,conservative,True,0.172809151294
-4,-28.5,5,conservative,True,0.164062314966
-3,-28.5,5,conservative,True,0.15658702099
-2,-28.5,5,conservative,True,0.147991633695
-1,-28.5,5,conservative,True,0.138452970016
0,-28.5,5,conservative,True,0.135667974824
1,-28.5,5,conservative,True,0.129753176851
2,-28.5,5,conservative,True,0.12397554205
3,-28.5,5,conservative,True,0.121187948037
4,-28.5,5,conservative,True,0.118867781251
5,-28.5,5,conservative,True,0.116701242376
6,-28.5,5,conservative,True,0.119028419425
7,-28.5,5,conservative,True,0.120022313291
8,-28.5,5,conservative,True,0.123269259456
9,-28.5,5,conservative,True,0.128459069432
10,-28.5,5,conservative,True,0.141310322679
11,-28.5,5,conservative,True,0.15586769195
12,-28.5,5,conservative,True,0.165018579358
13,-28.5,5,conservative,True,0.182006395427
14,-28.5,5,conservative,True,0.199878827583
15,-28.5,5,conservative,True,0.218942089622
16,-28.5,5,conservative,True,0.236966841732
17,-28.5,5,conservative,True,0.251386472139
18,-28.5,5,conservative,True,0.265677803035
19,-28.5,5,conservative,True,0.280298635359
20,-28.5,5,conservative,True,0.29098847604
21,-28.5,5,conservative,True,0.296071377892
22,-28.5,5,conservative,True,0.300471295666
23,-28.5,5,conservative,True,0.304896254772
24,-28.5,5,conservative,True,0.322534094021
25,-28.5,5,conservative,True,0.325688718064
26,-28.5,5,conservative,True,0.327317582459
27,-28.5,5,conservative,True,0.325834778401
28,-28.5,5,conservative,True,0.325523200064
