history,outer_heldout_match,model,inner_heldout_match,alpha,MAE,constant_features_removed,solver
2s,J03WOH,B1,J03WN1,0.1,2.034724438529682,0,solve
2s,J03WOH,B1,J03WN1,1.0,2.0347301235446444,0,solve
2s,J03WOH,B1,J03WN1,10.0,2.034786960341417,0,solve
2s,J03WOH,B1,J03WN1,100.0,2.0353545134087723,0,solve
2s,J03WOH,B1,J03WOY,0.01,2.1997723078028377,0,solve
2s,J03WOH,B1,J03WOY,0.1,2.199772553233356,0,solve
2s,J03WOH,B1,J03WOY,1.0,2.199775007508186,0,solve
2s,J03WOH,B1,J03WOY,10.0,2.1997995472194023,0,solve
2s,J03WOH,B1,J03WOY,100.0,2.2000467546268276,0,solve
2s,J03WOH,B1,J03WPY,0.01,2.1688911059718214,0,solve
2s,J03WOH,B1,J03WPY,0.1,2.168891583865049,0,solve
2s,J03WOH,B1,J03WPY,1.0,2.168896362680049,0,solve
2s,J03WOH,B1,J03WPY,10.0,2.1689441432897554,0,solve
2s,J03WOH,B1,J03WPY,100.0,2.169421910266716,0,solve
2s,J03WOH,B1,J03WQQ,0.01,2.2796626542896736,0,solve
2s,J03WOH,B1,J03WQQ,0.1,2.2796628810131523,0,solve
2s,J03WOH,B1,J03WQQ,1.0,2.279665148195027,0,solve
2s,J03WOH,B1,J03WQQ,10.0,2.279687814724296,0,solve
2s,J03WOH,B1,J03WQQ,100.0,2.279914221579755,0,solve
2s,J03WOH,B1,J03WR9,0.01,2.1819008355051412,0,solve
2s,J03WOH,B1,J03WR9,0.1,2.181901006729468,0,solve
2s,J03WOH,B1,J03WR9,1.0,2.181902718913598,0,solve
2s,J03WOH,B1,J03WR9,10.0,2.181919834844924,0,solve
2s,J03WOH,B1,J03WR9,100.0,2.182090406667616,0,solve
2s,J03WOH,B2,J03WMX,0.01,2.130351805972183,0,solve
2s,J03WOH,B2,J03WMX,0.1,2.1303510983078415,0,solve
2s,J03WOH,B2,J03WMX,1.0,2.1303440308959876,0,solve
2s,J03WOH,B2,J03WMX,10.0,2.1302758793105605,0,solve
2s,J03WOH,B2,J03WMX,100.0,2.1297976880263043,0,solve
2s,J03WOH,B2,J03WN1,0.01,1.9440546250599218,0,solve
2s,J03WOH,B2,J03WN1,0.1,1.944057446943264,0,solve
2s,J03WOH,B2,J03WN1,1.0,1.9440856453435496,0,solve
2s,J03WOH,B2,J03WN1,10.0,1.9443681310947067,0,solve
2s,J03WOH,B2,J03WN1,100.0,1.9471343556411629,0,solve
2s,J03WOH,B2,J03WOY,0.01,2.1580598002418956,0,solve
2s,J03WOH,B2,J03WOY,0.1,2.1580611041938487,0,solve
2s,J03WOH,B2,J03WOY,1.0,2.158074326288229,0,solve
2s,J03WOH,B2,J03WOY,10.0,2.158206843265888,0,solve
2s,J03WOH,B2,J03WOY,100.0,2.159508249286606,0,solve
2s,J03WOH,B2,J03WPY,0.01,2.112638669690926,0,solve
2s,J03WOH,B2,J03WPY,0.1,2.1126399021845383,0,solve
2s,J03WOH,B2,J03WPY,1.0,2.1126522394995284,0,solve
2s,J03WOH,B2,J03WPY,10.0,2.112775592114308,0,solve
2s,J03WOH,B2,J03WPY,100.0,2.1140262152612297,0,solve
2s,J03WOH,B2,J03WQQ,0.01,2.2502619696559343,0,solve
2s,J03WOH,B2,J03WQQ,0.1,2.250261505318251,0,solve
2s,J03WOH,B2,J03WQQ,1.0,2.2502568682145156,0,solve
2s,J03WOH,B2,J03WQQ,10.0,2.2502111184548363,0,solve
2s,J03WOH,B2,J03WQQ,100.0,2.2499568612100935,0,solve
2s,J03WOH,B2,J03WR9,0.01,2.156135881311583,0,solve
2s,J03WOH,B2,J03WR9,0.1,2.1561359725524913,0,solve
2s,J03WOH,B2,J03WR9,1.0,2.156136885599461,0,solve
2s,J03WOH,B2,J03WR9,10.0,2.1561495798964354,0,solve
2s,J03WOH,B2,J03WR9,100.0,2.1563698116700216,0,solve
2s,J03WOH,B3,J03WMX,0.01,2.121838340999106,0,solve
2s,J03WOH,B3,J03WMX,0.1,2.121838087093698,0,solve
2s,J03WOH,B3,J03WMX,1.0,2.1218356160357525,0,solve
2s,J03WOH,B3,J03WMX,10.0,2.121811757241293,0,solve
2s,J03WOH,B3,J03WMX,100.0,2.1217012687356283,0,solve
2s,J03WOH,B3,J03WN1,0.01,1.9290728449494916,0,solve
2s,J03WOH,B3,J03WN1,0.1,1.9290751535445338,0,solve
2s,J03WOH,B3,J03WN1,1.0,1.9290982228556397,0,solve
2s,J03WOH,B3,J03WN1,10.0,1.9293272668810673,0,solve
2s,J03WOH,B3,J03WN1,100.0,1.9315241072913787,0,solve
2s,J03WOH,B3,J03WOY,0.01,2.123583996391745,0,solve
2s,J03WOH,B3,J03WOY,0.1,2.123584753728585,0,solve
2s,J03WOH,B3,J03WOY,1.0,2.123592325081525,0,solve
2s,J03WOH,B3,J03WOY,10.0,2.1236677666263684,0,solve
2s,J03WOH,B3,J03WOY,100.0,2.1243967261986185,0,solve
2s,J03WOH,B3,J03WPY,0.01,2.0845021005008832,0,solve
2s,J03WOH,B3,J03WPY,0.1,2.084503148813248,0,solve
2s,J03WOH,B3,J03WPY,1.0,2.0845136257016077,0,solve
2s,J03WOH,B3,J03WPY,10.0,2.0846182746510182,0,solve
2s,J03WOH,B3,J03WPY,100.0,2.085730979830568,0,solve
2s,J03WOH,B3,J03WQQ,0.01,2.2373375662778527,0,solve
2s,J03WOH,B3,J03WQQ,0.1,2.2373376340997995,0,solve
2s,J03WOH,B3,J03WQQ,1.0,2.237338313282046,0,solve
2s,J03WOH,B3,J03WQQ,10.0,2.2373452003960317,0,solve
2s,J03WOH,B3,J03WQQ,100.0,2.2374833291177696,0,solve
2s,J03WOH,B3,J03WR9,0.01,2.1373399775705124,0,solve
2s,J03WOH,B3,J03WR9,0.1,2.1373403452267072,0,solve
2s,J03WOH,B3,J03WR9,1.0,2.1373440191374953,0,solve
2s,J03WOH,B3,J03WR9,10.0,2.1373818417980504,0,solve
2s,J03WOH,B3,J03WR9,100.0,2.1377814106491853,0,solve
2s,J03WOH,B4,J03WMX,0.01,2.117415913667053,0,solve
2s,J03WOH,B4,J03WMX,0.1,2.117414805281432,0,solve
2s,J03WOH,B4,J03WMX,1.0,2.1174048448461096,0,solve
2s,J03WOH,B4,J03WMX,10.0,2.1173185636959295,0,solve
2s,J03WOH,B4,J03WMX,100.0,2.117002570698441,0,solve
2s,J03WOH,B4,J03WN1,0.01,1.920950923163731,0,solve
