history,outer_heldout_match,model,bin,realized_bins,lower_edge,upper_edge,n,predicted_mean,predicted_median,observed_mean,observed_median,calibration_slope,calibration_intercept
2s,J03WR9,B2,1,5,2.0019125104838573,4.0066360326894435,998,3.4604020606715236,3.5568856256073147,3.158201954708846,2.707037488036752,,
2s,J03WR9,B2,2,5,4.0066360326894435,4.908038515057575,1405,4.4671116161124775,4.472988596311323,4.595335382974483,4.044764131399737,,
2s,J03WR9,B2,3,5,4.908038515057575,5.933394937965887,1532,5.394135449154289,5.381012443448384,5.749290479531038,5.191546061985659,,
2s,J03WR9,B2,4,5,5.933394937965887,7.296413925892026,1358,6.557751697630045,6.53772685065049,6.814373797041702,6.297258485430966,,
2s,J03WR9,B2,5,5,7.296413925892026,59.067257910913256,1263,9.043560937319409,8.565167581584907,8.84054646048904,8.162255688146109,,
2s,J03WR9,B2,ALL,5,,,6556,5.8451849991623845,5.45868684823154,5.923699599527214,5.149043050838834,0.955835507703787,0.33666422823026726
2s,J03WR9,B3,1,5,1.5899637791573893,3.908782794417593,892,3.3765173244714033,3.4687928691705485,2.950146493115854,2.5896819357112992,,
2s,J03WR9,B3,2,5,3.908782794417593,4.874237327942519,1391,4.409080584856891,4.399902191968578,4.4039080057881455,3.7880215744414354,,
2s,J03WR9,B3,3,5,4.874237327942519,5.978619719408415,1617,5.3975498095548256,5.378267166940691,5.713615665426642,5.197487300268281,,
2s,J03WR9,B3,4,5,5.978619719408415,7.395637383692861,1368,6.624692340140115,6.609756987747884,6.8884573270139375,6.329410852946004,,
2s,J03WR9,B3,5,5,7.395637383692861,54.98225087840685,1288,9.105082495605721,8.607222419436514,8.863417478447062,8.151528263864236,,
2s,J03WR9,B3,ALL,5,,,6556,5.897292245983286,5.514341255555413,5.923699599527214,5.149043050838834,0.9679226590648157,0.215576807512746
2s,J03WR9,B4,1,5,1.5217485857876811,3.899550726234854,867,3.353059016915734,3.4295221701651246,2.8431266401760054,2.512945376466056,,
2s,J03WR9,B4,2,5,3.899550726234854,4.877605092437463,1387,4.404881926157715,4.413055690533202,4.456441260226906,3.8667175395692177,,
2s,J03WR9,B4,3,5,4.877605092437463,5.9827225340183405,1649,5.401988598204615,5.374622370644915,5.695679599654331,5.190783221022831,,
2s,J03WR9,B4,4,5,5.9827225340183405,7.3986711892444035,1349,6.623370626275583,6.602956159035338,6.840129503943892,6.302827558005839,,
2s,J03WR9,B4,5,5,7.3986711892444035,54.5971120490424,1304,9.083344613746148,8.59118427518499,8.872844623376379,8.161073080407283,,
2s,J03WR9,B4,ALL,5,,,6556,5.903624305804886,5.522687038223406,5.923699599527214,5.149043050838834,0.972915412698406,0.1799725216287134
1s,J03WMX,B1,1,5,2.5930998754551555,4.162281750990081,1296,3.6078435816801364,3.6450755430816004,2.893169097952432,2.4700279065096717,,
1s,J03WMX,B1,2,5,4.162281750990081,4.9020594352274465,1228,4.546091946057097,4.558463739683624,4.402525538448323,3.9140508265959744,,
1s,J03WMX,B1,3,5,4.9020594352274465,5.685149197781136,1342,5.278956950785345,5.2669090915417796,5.490375525309239,4.968156664099494,,
1s,J03WMX,B1,4,5,5.685149197781136,7.005323857246588,1521,6.240813903861491,6.17851295095645,6.790107122189529,6.278869844146769,,
1s,J03WMX,B1,5,5,7.005323857246588,111.30092040706454,1561,8.957550249033437,8.444849542624437,9.260184049697331,8.591211898559648,,
1s,J03WMX,B1,ALL,5,,,6948,5.874746733748421,5.436957711925068,5.945139997345091,5.141782242343266,1.0896547853972347,-0.4563058940806451
1s,J03WMX,B2,1,5,1.9739877891050193,4.002772584523442,1293,3.3545873004831055,3.4371939073225835,2.7534927746472118,2.417241516930263,,
1s,J03WMX,B2,2,5,4.002772584523442,4.878555042054544,1206,4.450319895547509,4.454731185255987,4.325593591251785,3.9275760782828693,,
1s,J03WMX,B2,3,5,4.878555042054544,5.860522542743111,1342,5.358037745707422,5.349143194876455,5.627347663149488,5.184352656226304,,
1s,J03WMX,B2,4,5,5.860522542743111,7.2425426781562265,1489,6.487668743377158,6.459526971285292,6.8752479066949554,6.272912553100937,,
1s,J03WMX,B2,5,5,7.2425426781562265,98.72815390765635,1618,9.040030427134727,8.577689613017654,9.110479589536341,8.469902873672467,,
1s,J03WMX,B2,ALL,5,,,6948,5.927167791923848,5.563813925993722,5.945139997345091,5.141782242343266,1.0625465124396865,-0.35275146860842654
1s,J03WMX,B3,1,5,1.5547860723464613,3.9488997246757647,1271,3.3007961044523997,3.3878825313823957,2.7416201276246683,2.4472212727471407,,
1s,J03WMX,B3,2,5,3.9488997246757647,4.859469815396693,1226,4.411833616136464,4.399755207572467,4.284170267325045,3.8736620036881058,,
1s,J03WMX,B3,3,5,4.859469815396693,5.882707984754605,1317,5.362616777341575,5.3705872304154925,5.539065724463978,5.1269286006754,,
1s,J03WMX,B3,4,5,5.882707984754605,7.302954607377418,1550,6.530956814475488,6.494337729839218,6.936685339909237,6.335940031977103,,
1s,J03WMX,B3,5,5,7.302954607377418,94.54280299476333,1584,9.139865508664089,8.722026989708407,9.168578873499913,8.520252709069478,,
1s,J03WMX,B3,ALL,5,,,6948,5.939452531097019,5.612092938508666,5.945139997345091,5.141782242343266,1.0485002631399107,-0.2823775444171457
1s,J03WMX,B4,1,5,1.5647144055213067,3.9478893684344416,1265,3.305068318950241,3.393515901950106,2.7137281408286267,2.417241516930263,,
1s,J03WMX,B4,2,5,3.9478893684344416,4.856855152368015,1239,4.411480677435651,4.411815838447634,4.299323424405182,3.882154969769399,,
1s,J03WMX,B4,3,5,4.856855152368015,5.886036721347949,1333,5.380691261884524,5.388348034921988,5.52470789402604,5.068663171571437,,
1s,J03WMX,B4,4,5,5.886036721347949,7.301789444952102,1519,6.540550897685895,6.4982870400791946,6.928087122565283,6.389368542461881,,
1s,J03WMX,B4,5,5,7.301789444952102,93.27206071822091,1592,9.135354506061944,8.725018034629791,9.207854848400808,8.55379991008907,,
1s,J03WMX,B4,ALL,5,,,6948,5.943836877107425,5.629876222829407,5.945139997345091,5.141782242343266,1.0532661333109363,-0.3153020872367963
1s,J03WN1,B1,1,5,2.65750716281075,4.238624117836217,1311,3.71720563688754,3.79768799624949,2.8917505954346083,2.609714780032256,,
1s,J03WN1,B1,2,5,4.238624117836217,5.008541182237181,1353,4.617888529202707,4.607826407199292,4.11012006799868,3.611850386488647,,
1s,J03WN1,B1,3,5,5.008541182237181,5.810970937387849,1082,5.364306539636478,5.341648916879481,5.203845771223353,4.812617034780576,,
1s,J03WN1,B1,4,5,5.810970937387849,7.138393451505645,859,6.389494757169256,6.340185640604952,6.7441204479828345,6.237493906861264,,
1s,J03WN1,B1,5,5,7.138393451505645,110.57065056051123,831,9.109417440067187,8.511897357462704,9.305941973868217,8.686926010514034,,
1s,J03WN1,B1,ALL,5,,,5436,5.51580966426816,5.0384709002384955,5.244495189879028,4.424796275099244,1.1256849472133912,-0.9645687208817916
1s,J03WN1,B2,1,5,2.061644104336982,4.079480774603832,1428,3.452624677053806,3.5572514810771327,2.845102190493721,2.553393739483091,,
1s,J03WN1,B2,2,5,4.079480774603832,4.991423423524628,1369,4.517181358215805,4.501704071618528,4.215104020580003,3.8521871614555385,,
1s,J03WN1,B2,3,5,4.991423423524628,5.980287575521419,1013,5.44194564313955,5.417908310468454,5.404460925854505,4.9486021078326425,,
1s,J03WN1,B2,4,5,5.980287575521419,7.379796980699788,819,6.623330733397278,6.584200112180304,6.907902952530645,6.428543167146555,,
1s,J03WN1,B2,5,5,7.379796980699788,98.2645782509697,807,9.162010081406288,8.647837247378215,9.347584986332253,8.690495816333998,,
1s,J03WN1,B2,ALL,5,,,5436,5.41672374192014,4.9274158957338035,5.244495189879028,4.424796275099244,1.1145316398228564,-0.7926148046706272
1s,J03WN1,B3,1,5,1.640660274077585,4.038336618768566,1389,3.4149552864672796,3.540356678023099,2.799408899120147,2.526332720286303,,
1s,J03WN1,B3,2,5,4.038336618768566,4.971190961014957,1378,4.504625664776331,4.505364721746931,4.13327016077531,3.7906859599777953,,
1s,J03WN1,B3,3,5,4.971190961014957,6.013044499411994,1056,5.440646140704425,5.418291203878211,5.478815245856885,5.0068670464402025,,
1s,J03WN1,B3,4,5,6.013044499411994,7.421686418744551,818,6.657174228356096,6.6255646458458095,6.919027221773183,6.334792638214241,,
1s,J03WN1,B3,5,5,7.421686418744551,93.80718625222742,795,9.209491015490544,8.702952026242029,9.408374141787169,8.710562410360618,,
1s,J03WN1,B3,ALL,5,,,5436,5.420011637170525,4.933574587758386,5.244495189879028,4.424796275099244,1.112619650818123,-0.7859162652998014
1s,J03WN1,B4,1,5,1.562408476729555,4.025504768615428,1433,3.3784745016237316,3.5052633772762642,2.8433764629277096,2.589081145081401,,
1s,J03WN1,B4,2,5,4.025504768615428,4.971764130309856,1355,4.491816008807285,4.490244032126906,4.166125151255762,3.8177859191849444,,
1s,J03WN1,B4,3,5,4.971764130309856,6.017509126494797,1047,5.454662293081658,5.432508691654737,5.412730470438223,4.947492295489593,,
1s,J03WN1,B4,4,5,6.017509126494797,7.421879181730379,807,6.663173064464458,6.622626700244305,7.013625644148408,6.4709362169525475,,
1s,J03WN1,B4,5,5,7.421879181730379,92.35763802194116,794,9.208788609775887,8.759250582198987,9.39835403460812,8.715780112193212,,
1s,J03WN1,B4,ALL,5,,,5436,5.395098398234372,4.919825210320116,5.244495189879028,4.424796275099244,1.1022069343959036,-0.702019676403132
1s,J03WOH,B1,1,5,2.611550447986497,4.182278156279976,1226,3.6248275380811643,3.656245033752144,2.93740955427376,2.483360378257178,,
1s,J03WOH,B1,2,5,4.182278156279976,4.930786529683871,1178,4.576631876268281,4.58101461080589,4.203161542381547,3.6877855869133884,,
1s,J03WOH,B1,3,5,4.930786529683871,5.7193236674603884,1192,5.309554062534183,5.297625108496812,5.451147250558331,4.983699653613082,,
1s,J03WOH,B1,4,5,5.7193236674603884,7.055596327550461,1315,6.284819059374098,6.250742886242356,6.843307383679961,6.337739956770816,,
