period,time_period_s,reason,available
2,1486.04,complete_ten_defenders_unavailable,9.0
2,1490.04,complete_ten_defenders_unavailable,9.0
2,1494.04,opponent_possession_event_after_anchor,
2,1498.04,complete_ten_attackers_unavailable,9.0
2,1502.04,complete_ten_attackers_unavailable,9.0
2,1506.04,complete_ten_attackers_unavailable,9.0
2,1510.04,complete_ten_attackers_unavailable,9.0
2,1514.04,complete_ten_defenders_unavailable,9.0
2,1518.04,complete_ten_defenders_unavailable,9.0
2,1522.04,complete_ten_defenders_unavailable,9.0
2,1526.04,complete_ten_defenders_unavailable,9.0
2,1530.04,complete_ten_defenders_unavailable,9.0
2,1534.04,complete_ten_defenders_unavailable,9.0
2,1538.04,complete_ten_defenders_unavailable,9.0
2,1542.04,complete_ten_attackers_unavailable,9.0
2,1546.04,complete_ten_attackers_unavailable,9.0
2,1550.04,complete_ten_attackers_unavailable,9.0
2,1554.04,complete_ten_attackers_unavailable,9.0
2,1558.04,complete_ten_attackers_unavailable,9.0
2,1562.04,complete_ten_attackers_unavailable,9.0
2,1566.04,complete_ten_attackers_unavailable,9.0
2,1570.04,complete_ten_attackers_unavailable,9.0
2,1574.04,complete_ten_attackers_unavailable,9.0
2,1578.04,complete_ten_attackers_unavailable,9.0
2,1582.04,complete_ten_attackers_unavailable,8.0
2,1586.04,complete_ten_attackers_unavailable,9.0
2,1590.04,complete_ten_attackers_unavailable,9.0
2,1594.04,complete_ten_attackers_unavailable,9.0
2,1598.04,complete_ten_attackers_unavailable,9.0
2,1602.04,complete_ten_attackers_unavailable,9.0
2,1606.04,complete_ten_attackers_unavailable,9.0
2,1610.04,complete_ten_attackers_unavailable,9.0
2,1614.04,complete_ten_attackers_unavailable,9.0
2,1618.04,complete_ten_attackers_unavailable,9.0
2,1622.04,complete_ten_attackers_unavailable,9.0
2,1626.04,complete_ten_attackers_unavailable,9.0
2,1630.04,complete_ten_attackers_unavailable,9.0
2,1634.04,complete_ten_attackers_unavailable,9.0
